# Codes used by lab Bioanalytica
#
# Format:
# <Order>;<Code>;<Group Key>[;<Name>]
#
# Empty and comment (#) lines are ignored
# White space only matters for indentation of the Name.

00010;aboyä;A2;  - A. boydii
00020;afuä;A2;  - A. fumigatus
00030;apulä;A2;  - A. pullulans
00040;claä;A2;  - Cladosporium 
00050;ecp;A2;ECP (e)
00060;ecp1;A2;ECP
00070;fusä;A2;  - Fusarium
00080;humiä;A2;  - Befeuchter
00090;i1g2;A2;IgG  Bienengift
00100;i1g3;A2;IgG  Bienengift (e)
00110;i3g2;A2;IgG  Wespengift
00120;i3g3;A2;IgG  Wespengift (e)
00130;ige;A2;IgE (Immunglobulin E)
00140;mfaä;A2;  - M. faeni
00150;papaä;A2;  - Papagei
00160;pcaä;A2;  - P. casei
00170;ras1n;A2;Allergiescreen
00180;ras1p;A2;Allergiescreen
00190;ras1q;A2;ras1 Allergiescreen
00200;rcal1;A2;  Hausstaubmilbe (D. pteron.)
00210;rcal10;A2;  Birkenpollen
00220;rcal11;A2;  Haselnuss
00230;rcal12;A2;  Eiklar
00240;rcal13;A2;  Milch
00250;rcal14;A2;  Kabeljau (Dorsch)
00260;rcal15;A2;  Weizenmehl
00270;rcal16;A2;  Sojabohne
00280;rcal17;A2;  Erdnuss
00290;rcal18;A2;  Apfel
00300;rcal19;A2;  Karotte
00310;rcal2;A2;  Hausstaubmilbe (D. farinae)
00320;rcal20;A2;  Latex
00330;rcal3;A2;  Aspergillus spp.
00340;rcal4;A2;  Cladosporium herbarum
00350;rcal5;A2;  Pferdeepithelien
00360;rcal6;A2;  Hundeepithelien
00370;rcal7;A2;  Katzenepithelien
00380;rcal8;A2;  Lieschgras
00390;rcal9;A2;  Beifusspollen
00400;rcla1;A2;  Hausstaubmilbe (D. pteron.)
00410;rcla10;A2;  Birkenpollen
00420;rcla11;A2;  Eiklar
00430;rcla12;A2;  Milch
00440;rcla13;A2;  Kabeljau (Dorsch)
00450;rcla14;A2;  Weizenmehl
00460;rcla15;A2;  Reis
00470;rcla16;A2;  Sojabohne
00480;rcla17;A2;  Erdnuss
00490;rcla18;A2;  Kartoffel
00500;rcla19;A2;  Apfel
00510;rcla2;A2;  Hausstaubmilbe (D. farinae)
00520;rcla20;A2;  Karotte
00530;rcla3;A2;  Aspergillus spp.
00540;rcla4;A2;  Cladosporium herbarum
00550;rcla5;A2;  Pferdeepithelien
00560;rcla6;A2;  Hundeepithelien
00570;rcla7;A2;  Katzenepithelien
00580;rcla8;A2;  Lieschgras
00590;rcla9;A2;  Beifusspollen
00600;rcli1;A2;  Hausstaubmilbe (D. pteron.)
00610;rcli10;A2;  Kaninchenepithelien
00620;rcli11;A2;  Meerschweinchenepithelien
00630;rcli12;A2;  Hamsterepithelien
00640;rcli13;A2;  Federnmischung
00650;rcli14;A2;  Wegerichpollen
